-0.0000		-5.81264e-10
-0.1000		-6.11305e-10
-0.2500		-5.95689e-10
-0.4000		-5.91517e-10
-0.5500		-6.07133e-10
-0.7000		-5.81980e-10
-0.8500		-6.06060e-10
-1.0000		-6.34074e-10
-1.1500		-1.43576e-09
-1.3000		-2.03174e-08
-1.4500		-4.21482e-07
-1.6000		-4.73579e-06
-1.7500		-2.19523e-05
-1.9000		-5.98550e-05
-2.0500		-1.19925e-04
-2.2000		-2.03586e-04
-2.3500		-3.11160e-04
-2.5000		-4.41909e-04
-2.6500		-5.95367e-04
-2.8000		-7.70783e-04
-2.9500		-9.67574e-04
-3.1000		-1.18536e-03
-3.2500		-1.42287e-03
-3.4000		-1.67979e-03
-3.5500		-1.95407e-03
-3.7000		-2.24550e-03
-3.8500		-2.55007e-03
-4.0000		-2.86341e-03
-4.1500		-3.18196e-03
-4.3000		-3.50075e-03
-4.4500		-3.81694e-03
-4.6000		-4.13013e-03
-4.7500		-4.43797e-03
-4.9000		-4.74056e-03
